case,year,Scenario,TechSensitivity,nonsrec_energy_revenue,nonsrec_capacity_revenue,nonsrec_rps_revenue,nonsrec_revenue,capacity,output,capacityfactor,nonsrec_revenue_permwh
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,56868156.59659514,2557541.0637401547,9311062,68736759.66033529,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.545511566981457
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,54023740.71935175,2879805.1629841626,9428862,66332407.882335916,1960.4601499999999,3516754.1880281805,0.20477639269406397,18.861826654858703
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,76031858.05931528,1127485.3270052336,9778241,86937584.38632052,1960.4601499999999,3516754.1880281805,0.20477639269406397,24.720972731695475
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,60102280.39134793,633151.5455094541,0,60735431.93685739,1960.4601499999999,3516754.1880281805,0.20477639269406397,17.270309123001663
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,57234926.38581559,860232.0399127204,0,58095158.42572831,1960.4601499999999,3516754.1880281805,0.20477639269406397,16.519539131707656
currentpolicy_mid,2030,Current Policy (CP),Mid,76130533.76425715,2509352.918749056,14565687,93205573.6830062,1960.4601499999999,3516754.1880281805,0.20477639269406397,26.50329499863791
currentpolicy_mid,2040,Current Policy (CP),Mid,68390106.99575454,1591512.2538824186,0,69981619.24963696,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.899491266085665
currentpolicy_mid,2050,Current Policy (CP),Mid,64537228.263094135,1644592.5993558408,658557,66840377.862449974,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.006269499867123
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,75264089.55209225,1414009.2323907763,16104645,92782743.78448303,1960.4601499999999,3516754.1880281805,0.20477639269406397,26.383062000846202
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,67064335.572274834,930336.5092565512,785292,68779964.08153139,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.557796878631382
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,62583976.92212421,4488152.938981271,1471679,68543808.86110547,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.490645406620672
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,76556002.22159684,4522052.493661553,13324633,94402687.71525839,1960.4601499999999,3516754.1880281805,0.20477639269406397,26.843698099977047
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,72884848.05900288,1251372.522153899,0,74136220.58115678,1960.4601499999999,3516754.1880281805,0.20477639269406397,21.080865086770377
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,76117014.44132401,4355384.680559141,0,80472399.12188315,1960.4601499999999,3516754.1880281805,0.20477639269406397,22.88257717750909
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,214416129.25332475,1128010.4769967697,0,215544139.73032153,4370.225083333334,7839489.807756768,0.20477639269406395,27.494664195755675
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,415258892.9319432,2658775.100519181,-27,417917641.03246236,10473.906,18764823.185694236,0.20451807600619604,22.2713338088403
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,587247099.7197652,4619483.421272691,-51,591866532.1410378,15730.893916666668,27918570.264222734,0.20259823865754945,21.19974363083724
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,216476373.56470823,792195.8594695218,-2,217268567.42417777,4370.225083333334,7839489.807756768,0.20477639269406395,27.714631022187415
