name,case,year,rps_revenue,capacity,capacityfactor,rps_revenue_per_mwh,Scenario,TechSensitivity
MIS_East,statedpolicy_nuclear_mid,2030,-0,136.2883046,0.2028285844748858,-0,SP + Nuclear,Mid
NY_East,statedpolicy_nuclear_mid,2030,39051002,1499.8591579999998,0.2052567579908676,14.480385751821066,SP + Nuclear,Mid
NY_West,statedpolicy_nuclear_mid,2030,13740167,526.977542,0.20525675799086757,14.501012691072667,SP + Nuclear,Mid
PJM_COMD,statedpolicy_nuclear_mid,2030,2482674,481.7118708,0.20897022831050224,2.815424100743773,SP + Nuclear,Mid
PJM_Delaware,statedpolicy_nuclear_mid,2030,3300827,626.6970713999999,0.21348823799470185,2.816352680731582,SP + Nuclear,Mid
PJM_Dom,statedpolicy_nuclear_mid,2030,987427,184.80067759999997,0.21561282498164652,2.8289335291845634,SP + Nuclear,Mid
PJM_NJCoast,statedpolicy_nuclear_mid,2030,10184604,2011.9683527999998,0.20477639269406395,2.8218830289928247,SP + Nuclear,Mid
PJM_NJLand,statedpolicy_nuclear_mid,2030,19579267,3870.9800471999997,0.20477639269406395,2.819625967885395,SP + Nuclear,Mid
PJM_PECO,statedpolicy_nuclear_mid,2030,846366,164.4267353,0.20723534246575342,2.835422918721961,SP + Nuclear,Mid
PJM_SMAC,statedpolicy_nuclear_mid,2030,20058875,3791.5132052999998,0.21416158255810666,2.8199949168887883,SP + Nuclear,Mid
PJM_WEST,statedpolicy_nuclear_mid,2030,4401103,843.6605847,0.2110984822277493,2.8210095475166566,SP + Nuclear,Mid
PJM_WestMAC,statedpolicy_nuclear_mid,2030,818154,162.3904909,0.20723534246575342,2.7752782625068235,SP + Nuclear,Mid
SC_TVA,statedpolicy_nuclear_mid,2030,-0,132.57017249999998,0.21701011644492688,-0,SP + Nuclear,Mid
SC_VACA,statedpolicy_nuclear_mid,2030,-0,510.9217339999999,0.21617944195790062,-0,SP + Nuclear,Mid
MIS_Central,statedpolicy_nuclear_mid,2040,-0,552.315614,0.2166453037361896,-0,SP + Nuclear,Mid
MIS_East,statedpolicy_nuclear_mid,2040,-0,136.2883046,0.2028285844748858,-0,SP + Nuclear,Mid
NY_East,statedpolicy_nuclear_mid,2040,46593555,1499.8591579999998,0.2052567579908676,17.277217366885775,SP + Nuclear,Mid
NY_West,statedpolicy_nuclear_mid,2040,16394029,526.977542,0.20525675799086757,17.30182919805948,SP + Nuclear,Mid
PJM_COMD,statedpolicy_nuclear_mid,2040,441879,481.7118708,0.20897022831050224,0.5011035626153726,SP + Nuclear,Mid
PJM_Delaware,statedpolicy_nuclear_mid,2040,622647,661.6038196,0.21352812079547911,0.5031352113222642,SP + Nuclear,Mid
PJM_Dom,statedpolicy_nuclear_mid,2040,175747,184.80067759999997,0.21561282498164652,0.5035071766860735,SP + Nuclear,Mid
PJM_NJCoast,statedpolicy_nuclear_mid,2040,1812707,2011.9683527999998,0.20477639269406395,0.5022529221397806,SP + Nuclear,Mid
PJM_NJLand,statedpolicy_nuclear_mid,2040,3484816,3870.9800471999997,0.20477639269406395,0.501851151368563,SP + Nuclear,Mid
PJM_PECO,statedpolicy_nuclear_mid,2040,150640,164.4267353,0.20723534246575342,0.5046612322284639,SP + Nuclear,Mid
PJM_SMAC,statedpolicy_nuclear_mid,2040,3951801,4192.7348855,0.21419624883045676,0.5023214199951457,SP + Nuclear,Mid
PJM_WEST,statedpolicy_nuclear_mid,2040,808437,868.5094562999999,0.21118848288863662,0.5031497878051341,SP + Nuclear,Mid
PJM_WestMAC,statedpolicy_nuclear_mid,2040,145619,162.3904909,0.20723534246575342,0.49395742770674117,SP + Nuclear,Mid
SC_TVA,statedpolicy_nuclear_mid,2040,-0,132.57017249999998,0.21701011644492688,-0,SP + Nuclear,Mid
SC_VACA,statedpolicy_nuclear_mid,2040,-0,510.9217339999999,0.21617944195790062,-0,SP + Nuclear,Mid
MIS_Central,statedpolicy_nuclear_mid,2050,-0,552.315614,0.2166453037361896,-0,SP + Nuclear,Mid
MIS_East,statedpolicy_nuclear_mid,2050,-0,136.2883046,0.2028285844748858,-0,SP + Nuclear,Mid
NY_East,statedpolicy_nuclear_mid,2050,71324190,1499.8591579999998,0.2052567579908676,26.447510479658842,SP + Nuclear,Mid
NY_West,statedpolicy_nuclear_mid,2050,25095548,526.977542,0.20525675799086757,26.485184644220357,SP + Nuclear,Mid
PJM_COMD,statedpolicy_nuclear_mid,2050,900370,481.7118708,0.20897022831050224,1.021045613554849,SP + Nuclear,Mid
PJM_Delaware,statedpolicy_nuclear_mid,2050,1319860,690.3432978,0.21355792981469393,1.0219812922615987,SP + Nuclear,Mid
PJM_Dom,statedpolicy_nuclear_mid,2050,358102,184.80067759999997,0.21561282498164652,1.025945973391502,SP + Nuclear,Mid
PJM_NJCoast,statedpolicy_nuclear_mid,2050,3693562,2011.9683527999998,0.20477639269406395,1.0233878434873656,SP + Nuclear,Mid
PJM_NJLand,statedpolicy_nuclear_mid,2050,7100643,3870.9800471999997,0.20477639269406395,1.0225693020828437,SP + Nuclear,Mid
PJM_PECO,statedpolicy_nuclear_mid,2050,306944,164.4267353,0.20723534246575342,1.028297512381397,SP + Nuclear,Mid
PJM_SMAC,statedpolicy_nuclear_mid,2050,8481892,4417.4053957,0.21420334799001345,1.023281494574766,SP + Nuclear,Mid
PJM_WEST,statedpolicy_nuclear_mid,2050,1688193,888.9680678999999,0.21125880579032308,1.026164549806502,SP + Nuclear,Mid
PJM_WestMAC,statedpolicy_nuclear_mid,2050,296713,162.3904909,0.20723534246575342,1.0064867238969524,SP + Nuclear,Mid
SC_TVA,statedpolicy_nuclear_mid,2050,-0,132.57017249999998,0.21701011644492688,-0,SP + Nuclear,Mid
SC_VACA,statedpolicy_nuclear_mid,2050,-0,510.9217339999999,0.21617944195790062,-0,SP + Nuclear,Mid
MIS_Central,statedpolicy_instaterps_mid,2030,-0,552.315614,0.2166453037361896,-0,SP + 80% Instate,Mid
MIS_East,statedpolicy_instaterps_mid,2030,-0,136.2883046,0.2028285844748858,-0,SP + 80% Instate,Mid
NY_East,statedpolicy_instaterps_mid,2030,39050950,1499.8591579999998,0.2052567579908676,14.480366469855928,SP + 80% Instate,Mid
NY_West,statedpolicy_instaterps_mid,2030,13740149,526.977542,0.20525675799086757,14.500993694343702,SP + 80% Instate,Mid
PJM_COMD,statedpolicy_instaterps_mid,2030,2482664,481.7118708,0.20897022831050224,2.81541276045463,SP + 80% Instate,Mid
PJM_Delaware,statedpolicy_instaterps_mid,2030,3300815,626.6970713999999,0.21348823799470185,2.8163424420149914,SP + 80% Instate,Mid
