case,year,Scenario,TechSensitivity,nonsrec_capacity_revenue
deepdecarbonization_dgsolar_nuclear_lowrecost,2030,DD + High Solar + Nuclear,Low RE/BESS Cost,1461982.4572931412
deepdecarbonization_dgsolar_nuclear_lowrecost,2040,DD + High Solar + Nuclear,Low RE/BESS Cost,3643091.423820504
deepdecarbonization_dgsolar_nuclear_lowrecost,2050,DD + High Solar + Nuclear,Low RE/BESS Cost,8517197.921874968
deepdecarbonization_dgsolar_nuclear_mid,2030,DD + High Solar + Nuclear,Mid,1128010.4769967697
deepdecarbonization_dgsolar_nuclear_mid,2040,DD + High Solar + Nuclear,Mid,1639996.9828639845
deepdecarbonization_dgsolar_nuclear_mid,2050,DD + High Solar + Nuclear,Mid,2465372.1413988527
deepdecarbonization_dgsolar_nuclear_noflexibleload,2030,DD + High Solar + Nuclear,No Flexible Load,615299.5439876168
deepdecarbonization_dgsolar_nuclear_noflexibleload,2040,DD + High Solar + Nuclear,No Flexible Load,2152380.3051806134
deepdecarbonization_dgsolar_nuclear_noflexibleload,2050,DD + High Solar + Nuclear,No Flexible Load,8606118.152595803
deepdecarbonization_dgsolar_nuclear_nointertrans,2030,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,1598837.4752268316
deepdecarbonization_dgsolar_nuclear_nointertrans,2040,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,2061936.3337379065
deepdecarbonization_dgsolar_nuclear_nointertrans,2050,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,2349789.5619474407
deepdecarbonization_doublezcfcost,2030,Deep Decarbonization (DD),Doubled ZCF Fuel Price,1185489.9288369832
deepdecarbonization_doublezcfcost,2040,Deep Decarbonization (DD),Doubled ZCF Fuel Price,529074.1618507138
deepdecarbonization_doublezcfcost,2050,Deep Decarbonization (DD),Doubled ZCF Fuel Price,871249.9804399803
deepdecarbonization_highngcost,2030,Deep Decarbonization (DD),High NatGas Price,701603.963315506
deepdecarbonization_highngcost,2040,Deep Decarbonization (DD),High NatGas Price,552736.8515581208
deepdecarbonization_highngcost,2050,Deep Decarbonization (DD),High NatGas Price,446219.1106301823
deepdecarbonization_highrecost,2030,Deep Decarbonization (DD),High RE/BESS Cost,1315383.650801416
deepdecarbonization_highrecost,2040,Deep Decarbonization (DD),High RE/BESS Cost,149522.69982593786
deepdecarbonization_highrecost,2050,Deep Decarbonization (DD),High RE/BESS Cost,78669.87422344049
deepdecarbonization_instaterps_doublezcfcost,2030,DD + 80% Instate,Doubled ZCF Fuel Price,1185603.084244289
deepdecarbonization_instaterps_doublezcfcost,2040,DD + 80% Instate,Doubled ZCF Fuel Price,529950.607517925
deepdecarbonization_instaterps_doublezcfcost,2050,DD + 80% Instate,Doubled ZCF Fuel Price,1197580.8754711975
deepdecarbonization_instaterps_highngcost,2030,DD + 80% Instate,High NatGas Price,701591.5112568173
deepdecarbonization_instaterps_highngcost,2040,DD + 80% Instate,High NatGas Price,554178.3590859985
deepdecarbonization_instaterps_highngcost,2050,DD + 80% Instate,High NatGas Price,456131.43946145684
deepdecarbonization_instaterps_highrecost,2030,DD + 80% Instate,High RE/BESS Cost,1315446.5956875442
deepdecarbonization_instaterps_highrecost,2040,DD + 80% Instate,High RE/BESS Cost,140190.68053019236
deepdecarbonization_instaterps_highrecost,2050,DD + 80% Instate,High RE/BESS Cost,60958.42400301852
deepdecarbonization_instaterps_lowngcost,2030,DD + 80% Instate,Low NatGas Price,1311657.0811104781
deepdecarbonization_instaterps_lowngcost,2040,DD + 80% Instate,Low NatGas Price,208413.81860078144
deepdecarbonization_instaterps_lowngcost,2050,DD + 80% Instate,Low NatGas Price,373515.99175953807
deepdecarbonization_instaterps_lowrecost,2030,DD + 80% Instate,Low RE/BESS Cost,1415469.586214168
deepdecarbonization_instaterps_lowrecost,2040,DD + 80% Instate,Low RE/BESS Cost,719440.6469461259
deepdecarbonization_instaterps_lowrecost,2050,DD + 80% Instate,Low RE/BESS Cost,1118542.3320114452
deepdecarbonization_instaterps_mid,2030,DD + 80% Instate,Mid,1185603.084244289
deepdecarbonization_instaterps_mid,2040,DD + 80% Instate,Mid,374903.1294539836
deepdecarbonization_instaterps_mid,2050,DD + 80% Instate,Mid,323585.8312827452
deepdecarbonization_instaterps_noflexibleload,2030,DD + 80% Instate,No Flexible Load,1735329.5676869426
deepdecarbonization_instaterps_noflexibleload,2040,DD + 80% Instate,No Flexible Load,483883.49063658377
deepdecarbonization_instaterps_noflexibleload,2050,DD + 80% Instate,No Flexible Load,1118286.3249306655
deepdecarbonization_instaterps_nointertrans,2030,DD + 80% Instate,No Interregional Transmission Upgrade,1297324.7592071863
deepdecarbonization_instaterps_nointertrans,2040,DD + 80% Instate,No Interregional Transmission Upgrade,413856.6955080802
deepdecarbonization_instaterps_nointertrans,2050,DD + 80% Instate,No Interregional Transmission Upgrade,394806.5952620106
deepdecarbonization_lowngcost,2030,Deep Decarbonization (DD),Low NatGas Price,1311832.5156316452
deepdecarbonization_lowngcost,2040,Deep Decarbonization (DD),Low NatGas Price,216820.06862030987
deepdecarbonization_lowngcost,2050,Deep Decarbonization (DD),Low NatGas Price,412305.5872792408
deepdecarbonization_lowrecost,2030,Deep Decarbonization (DD),Low RE/BESS Cost,1415470.0684873648
deepdecarbonization_lowrecost,2040,Deep Decarbonization (DD),Low RE/BESS Cost,729816.7006687293
deepdecarbonization_lowrecost,2050,Deep Decarbonization (DD),Low RE/BESS Cost,1121399.7324790643
deepdecarbonization_mid,2030,Deep Decarbonization (DD),Mid,1185489.9288369832
deepdecarbonization_mid,2040,Deep Decarbonization (DD),Mid,359102.7632342238
deepdecarbonization_mid,2050,Deep Decarbonization (DD),Mid,376510.09903433715
deepdecarbonization_noflexibleload,2030,Deep Decarbonization (DD),No Flexible Load,1735492.881859278
deepdecarbonization_noflexibleload,2040,Deep Decarbonization (DD),No Flexible Load,451030.54407524585
deepdecarbonization_noflexibleload,2050,Deep Decarbonization (DD),No Flexible Load,1294796.8462193208
deepdecarbonization_nointertrans,2030,Deep Decarbonization (DD),No Interregional Transmission Upgrade,1296843.0835585399
deepdecarbonization_nointertrans,2040,Deep Decarbonization (DD),No Interregional Transmission Upgrade,411942.5673048971
deepdecarbonization_nointertrans,2050,Deep Decarbonization (DD),No Interregional Transmission Upgrade,393790.0292344064
deepdecarbonization_nuclear_doublezcfcost,2030,DD + Nuclear,Doubled ZCF Fuel Price,1185489.9288369832
deepdecarbonization_nuclear_doublezcfcost,2040,DD + Nuclear,Doubled ZCF Fuel Price,529072.6538647665
deepdecarbonization_nuclear_doublezcfcost,2050,DD + Nuclear,Doubled ZCF Fuel Price,871245.5035331817
deepdecarbonization_nuclear_highngcost,2030,DD + Nuclear,High NatGas Price,701603.963315506
deepdecarbonization_nuclear_highngcost,2040,DD + Nuclear,High NatGas Price,552831.4900272179
deepdecarbonization_nuclear_highngcost,2050,DD + Nuclear,High NatGas Price,445876.25202802126
deepdecarbonization_nuclear_highrecost,2030,DD + Nuclear,High RE/BESS Cost,1315374.8757817848
deepdecarbonization_nuclear_highrecost,2040,DD + Nuclear,High RE/BESS Cost,149520.30492781865
deepdecarbonization_nuclear_highrecost,2050,DD + Nuclear,High RE/BESS Cost,78703.40514966202
deepdecarbonization_nuclear_instaterps_doublezcfcost,2030,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,1185603.084244289
deepdecarbonization_nuclear_instaterps_doublezcfcost,2040,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,529944.9802131103
deepdecarbonization_nuclear_instaterps_doublezcfcost,2050,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,1197854.7619485455
deepdecarbonization_nuclear_instaterps_highngcost,2030,DD + Nuclear + 80% Instate,High NatGas Price,701591.5112568173
deepdecarbonization_nuclear_instaterps_highngcost,2040,DD + Nuclear + 80% Instate,High NatGas Price,554187.4799308004
deepdecarbonization_nuclear_instaterps_highngcost,2050,DD + Nuclear + 80% Instate,High NatGas Price,456114.8641629807
deepdecarbonization_nuclear_instaterps_highrecost,2030,DD + Nuclear + 80% Instate,High RE/BESS Cost,1315355.0790551896
deepdecarbonization_nuclear_instaterps_highrecost,2040,DD + Nuclear + 80% Instate,High RE/BESS Cost,140276.54162710585
deepdecarbonization_nuclear_instaterps_highrecost,2050,DD + Nuclear + 80% Instate,High RE/BESS Cost,60979.01824480224
deepdecarbonization_nuclear_instaterps_lowngcost,2030,DD + Nuclear + 80% Instate,Low NatGas Price,1311657.0811104781
deepdecarbonization_nuclear_instaterps_lowngcost,2040,DD + Nuclear + 80% Instate,Low NatGas Price,208413.79978036397
deepdecarbonization_nuclear_instaterps_lowngcost,2050,DD + Nuclear + 80% Instate,Low NatGas Price,373543.52838280494
deepdecarbonization_nuclear_instaterps_lowrecost,2030,DD + Nuclear + 80% Instate,Low RE/BESS Cost,1415469.586214168
deepdecarbonization_nuclear_instaterps_lowrecost,2040,DD + Nuclear + 80% Instate,Low RE/BESS Cost,719437.680377827
deepdecarbonization_nuclear_instaterps_lowrecost,2050,DD + Nuclear + 80% Instate,Low RE/BESS Cost,1118432.9571554926
deepdecarbonization_nuclear_instaterps_mid,2030,DD + Nuclear + 80% Instate,Mid,1185603.084244289
deepdecarbonization_nuclear_instaterps_mid,2040,DD + Nuclear + 80% Instate,Mid,375061.13391604903
deepdecarbonization_nuclear_instaterps_mid,2050,DD + Nuclear + 80% Instate,Mid,323535.5054865107
deepdecarbonization_nuclear_instaterps_noflexibleload,2030,DD + Nuclear + 80% Instate,No Flexible Load,1735329.5676869426
deepdecarbonization_nuclear_instaterps_noflexibleload,2040,DD + Nuclear + 80% Instate,No Flexible Load,483972.44298706175
deepdecarbonization_nuclear_instaterps_noflexibleload,2050,DD + Nuclear + 80% Instate,No Flexible Load,1118292.2368942937
deepdecarbonization_nuclear_instaterps_nointertrans,2030,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,1297324.7592071863
deepdecarbonization_nuclear_instaterps_nointertrans,2040,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,413855.5780457947
deepdecarbonization_nuclear_instaterps_nointertrans,2050,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,394813.34943931934
deepdecarbonization_nuclear_lowngcost,2030,DD + Nuclear,Low NatGas Price,1311832.5156316452
deepdecarbonization_nuclear_lowngcost,2040,DD + Nuclear,Low NatGas Price,216822.20944279362
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,412276.8085084228
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,1415470.0684873648
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,729808.8172663741
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,1121016.1911920547
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,1185489.9288369832
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,359102.57973515376
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,376522.8616299137
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,1735492.881859278
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,451047.8847373646
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,1294803.6427425689
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,1296843.0835585399
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,411946.7172069427
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,393773.19201845414
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,5186516.343120277
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,10851525.893253462
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,5791576.608694323
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,2752076.5833707512
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,6212911.439582691
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,3587380.868303571
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,26042661.603845328
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,14318415.609211072
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,9855717.466929566
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,5186824.438744383
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,10490390.595763156
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,6354467.565669393
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,2752051.972011172
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,6310084.573034093
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,3752988.256722165
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,26042725.2063531
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,14634861.091764763
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,10224740.811767347
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,20815889.488262556
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,9155734.811135907
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,10318430.743909078
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,2410744.29096611
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,4223109.793033137
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,3843928.346806614
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,5186824.438744383
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,8682977.857293129
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,4089082.6435898626
statedpolicy_dgsolar_instaterps_noflexibleload,2030,SP + High Solar + 80% Instate,No Flexible Load,3679027.0099807014
statedpolicy_dgsolar_instaterps_noflexibleload,2040,SP + High Solar + 80% Instate,No Flexible Load,15761794.886884097
statedpolicy_dgsolar_instaterps_noflexibleload,2050,SP + High Solar + 80% Instate,No Flexible Load,20581596.705502618
statedpolicy_dgsolar_instaterps_nointertrans,2030,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,7863915.962441307
