case,year,Fuel,Scenario,TechSensitivity,Total Subsidy
deepdecarbonization_lowrecost,2050,Nuclear,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_lowrecost,2050,Offshore Wind,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_lowrecost,2050,Utility Solar,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_mid,2030,Nuclear,Deep Decarbonization (DD),Mid,0
deepdecarbonization_mid,2030,Offshore Wind,Deep Decarbonization (DD),Mid,32.4
deepdecarbonization_mid,2030,Utility Solar,Deep Decarbonization (DD),Mid,3.22
deepdecarbonization_mid,2040,Nuclear,Deep Decarbonization (DD),Mid,0
deepdecarbonization_mid,2040,Offshore Wind,Deep Decarbonization (DD),Mid,12.41
deepdecarbonization_mid,2040,Utility Solar,Deep Decarbonization (DD),Mid,0
deepdecarbonization_mid,2050,Nuclear,Deep Decarbonization (DD),Mid,0
deepdecarbonization_mid,2050,Offshore Wind,Deep Decarbonization (DD),Mid,0.68
deepdecarbonization_mid,2050,Utility Solar,Deep Decarbonization (DD),Mid,0
deepdecarbonization_noflexibleload,2030,Nuclear,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_noflexibleload,2030,Offshore Wind,Deep Decarbonization (DD),No Flexible Load,31.76
deepdecarbonization_noflexibleload,2030,Utility Solar,Deep Decarbonization (DD),No Flexible Load,2.96
deepdecarbonization_noflexibleload,2040,Nuclear,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_noflexibleload,2040,Offshore Wind,Deep Decarbonization (DD),No Flexible Load,14.37
deepdecarbonization_noflexibleload,2040,Utility Solar,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_noflexibleload,2050,Nuclear,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_noflexibleload,2050,Offshore Wind,Deep Decarbonization (DD),No Flexible Load,0.54
deepdecarbonization_noflexibleload,2050,Utility Solar,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_nointertrans,2030,Nuclear,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
deepdecarbonization_nointertrans,2030,Offshore Wind,Deep Decarbonization (DD),No Interregional Transmission Upgrade,32.51
deepdecarbonization_nointertrans,2030,Utility Solar,Deep Decarbonization (DD),No Interregional Transmission Upgrade,2.8
deepdecarbonization_nointertrans,2040,Nuclear,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
deepdecarbonization_nointertrans,2040,Offshore Wind,Deep Decarbonization (DD),No Interregional Transmission Upgrade,12.16
deepdecarbonization_nointertrans,2040,Utility Solar,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
deepdecarbonization_nointertrans,2050,Nuclear,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
deepdecarbonization_nointertrans,2050,Offshore Wind,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0.88
deepdecarbonization_nointertrans,2050,Utility Solar,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_doublezcfcost,2030,Nuclear,SP + High Solar,Doubled ZCF Fuel Price,8.78
statedpolicy_dgsolar_doublezcfcost,2030,Offshore Wind,SP + High Solar,Doubled ZCF Fuel Price,42.21
statedpolicy_dgsolar_doublezcfcost,2030,Utility Solar,SP + High Solar,Doubled ZCF Fuel Price,9.53
statedpolicy_dgsolar_doublezcfcost,2040,Offshore Wind,SP + High Solar,Doubled ZCF Fuel Price,37.07
statedpolicy_dgsolar_doublezcfcost,2040,Utility Solar,SP + High Solar,Doubled ZCF Fuel Price,5.43
statedpolicy_dgsolar_doublezcfcost,2050,Offshore Wind,SP + High Solar,Doubled ZCF Fuel Price,18.66
statedpolicy_dgsolar_doublezcfcost,2050,Utility Solar,SP + High Solar,Doubled ZCF Fuel Price,0.85
statedpolicy_dgsolar_highngcost,2030,Nuclear,SP + High Solar,High NatGas Price,2.79
statedpolicy_dgsolar_highngcost,2030,Offshore Wind,SP + High Solar,High NatGas Price,36.47
statedpolicy_dgsolar_highngcost,2030,Utility Solar,SP + High Solar,High NatGas Price,6.59
statedpolicy_dgsolar_highngcost,2040,Offshore Wind,SP + High Solar,High NatGas Price,31.31
statedpolicy_dgsolar_highngcost,2040,Utility Solar,SP + High Solar,High NatGas Price,5.93
statedpolicy_dgsolar_highngcost,2050,Offshore Wind,SP + High Solar,High NatGas Price,18.96
statedpolicy_dgsolar_highngcost,2050,Utility Solar,SP + High Solar,High NatGas Price,4.04
statedpolicy_dgsolar_highrecost,2030,Nuclear,SP + High Solar,High RE/BESS Cost,8.78
statedpolicy_dgsolar_highrecost,2030,Offshore Wind,SP + High Solar,High RE/BESS Cost,55.45
statedpolicy_dgsolar_highrecost,2030,Utility Solar,SP + High Solar,High RE/BESS Cost,13.28
statedpolicy_dgsolar_highrecost,2040,Offshore Wind,SP + High Solar,High RE/BESS Cost,63.09
statedpolicy_dgsolar_highrecost,2040,Utility Solar,SP + High Solar,High RE/BESS Cost,13.04
statedpolicy_dgsolar_highrecost,2050,Offshore Wind,SP + High Solar,High RE/BESS Cost,53.11
statedpolicy_dgsolar_highrecost,2050,Utility Solar,SP + High Solar,High RE/BESS Cost,8.3
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,Nuclear,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,8.78
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,Offshore Wind,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,42.21
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,Utility Solar,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,9.53
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,Nuclear,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,5.92
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,Offshore Wind,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,37.13
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,Utility Solar,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,6.11
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,Nuclear,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,21.36
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,Offshore Wind,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,27.49
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,Utility Solar,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,21.78
statedpolicy_dgsolar_instaterps_highngcost,2030,Nuclear,SP + High Solar + 80% Instate,High NatGas Price,2.79
statedpolicy_dgsolar_instaterps_highngcost,2030,Offshore Wind,SP + High Solar + 80% Instate,High NatGas Price,36.47
statedpolicy_dgsolar_instaterps_highngcost,2030,Utility Solar,SP + High Solar + 80% Instate,High NatGas Price,6.59
