Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,AnnualOutput
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0.636984406
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Geothermal,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,25740737.5
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,20378837.33
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0.106213478
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,29690938.88
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,116590338.2
WECC,currentpolicy_80CES_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,1717052.1
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,10129451.64
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0.511909
WECC,currentpolicy_80CES_10ci_nocip,2030,Geothermal,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,25740737.5
WECC,currentpolicy_80CES_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,20294949.53
WECC,currentpolicy_80CES_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0.097051026
WECC,currentpolicy_80CES_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,29690938.86
WECC,currentpolicy_80CES_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,116899453.4
PJM,currentpolicy_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,2209465.49
PJM,currentpolicy_10ci_adv_nocip,2030,Coal,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,14.8616571
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,757695529
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,324806.13
PJM,currentpolicy_10ci_adv_nocip,2030,Gas steam,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.52196193
