SCENARIO,Year,GenX.Region,DG_Capacity
deep_decarbonization,2040,PJM_NJCoast,1924.776
deep_decarbonization,2040,PJM_NJLand,3703.224
deep_decarbonization,2040,PJM_PECO,157.301
deep_decarbonization,2040,PJM_SMAC,5357.551
deep_decarbonization,2040,PJM_WEST,960.399
deep_decarbonization,2040,PJM_WestMAC,155.353
deep_decarbonization,2040,SC_TVA,126.825
deep_decarbonization,2040,SC_VACA,488.78
deep_decarbonization,2050,MIS_Central,571.605
deep_decarbonization,2050,MIS_East,130.382
deep_decarbonization,2050,NY_East,1434.86
deep_decarbonization,2050,NY_West,504.14
deep_decarbonization,2050,PJM_COMD,592.611
deep_decarbonization,2050,PJM_Delaware,941.62
deep_decarbonization,2050,PJM_Dom,176.792
deep_decarbonization,2050,PJM_NJCoast,1924.776
deep_decarbonization,2050,PJM_NJLand,3703.224
deep_decarbonization,2050,PJM_PECO,157.301
deep_decarbonization,2050,PJM_SMAC,6315.603
deep_decarbonization,2050,PJM_WEST,1050.615
deep_decarbonization,2050,PJM_WestMAC,155.353
deep_decarbonization,2050,SC_TVA,126.825
deep_decarbonization,2050,SC_VACA,488.78
deep_decarbonizationDGS1,2022,MIS_Central,528.38
deep_decarbonizationDGS1,2022,MIS_East,130.382
deep_decarbonizationDGS1,2022,NY_East,1434.86
deep_decarbonizationDGS1,2022,NY_West,504.14
deep_decarbonizationDGS1,2022,PJM_COMD,460.836
deep_decarbonizationDGS1,2022,PJM_Delaware,379.35
deep_decarbonizationDGS1,2022,PJM_Dom,176.792
deep_decarbonizationDGS1,2022,PJM_NJCoast,1174.2
deep_decarbonizationDGS1,2022,PJM_NJLand,2259.133
deep_decarbonizationDGS1,2022,PJM_PECO,157.301
deep_decarbonizationDGS1,2022,PJM_SMAC,2071.133
deep_decarbonizationDGS1,2022,PJM_WEST,650.355
deep_decarbonizationDGS1,2022,PJM_WestMAC,155.353
deep_decarbonizationDGS1,2022,SC_TVA,126.825
deep_decarbonizationDGS1,2022,SC_VACA,488.78
deep_decarbonizationDGS1,2025,MIS_Central,528.38
deep_decarbonizationDGS1,2025,MIS_East,130.382
deep_decarbonizationDGS1,2025,NY_East,1434.86
deep_decarbonizationDGS1,2025,NY_West,504.14
deep_decarbonizationDGS1,2025,PJM_COMD,460.836
deep_decarbonizationDGS1,2025,PJM_Delaware,486.494
deep_decarbonizationDGS1,2025,PJM_Dom,176.792
deep_decarbonizationDGS1,2025,PJM_NJCoast,1641.6
deep_decarbonizationDGS1,2025,PJM_NJLand,3158.4
deep_decarbonizationDGS1,2025,PJM_PECO,157.301
deep_decarbonizationDGS1,2025,PJM_SMAC,2811.717
deep_decarbonizationDGS1,2025,PJM_WEST,726.627
deep_decarbonizationDGS1,2025,PJM_WestMAC,155.353
deep_decarbonizationDGS1,2025,SC_TVA,126.825
deep_decarbonizationDGS1,2025,SC_VACA,488.78
deep_decarbonizationDGS1,2030,MIS_Central,528.38
deep_decarbonizationDGS1,2030,MIS_East,130.382
deep_decarbonizationDGS1,2030,NY_East,1434.86
deep_decarbonizationDGS1,2030,NY_West,504.14
deep_decarbonizationDGS1,2030,PJM_COMD,460.836
deep_decarbonizationDGS1,2030,PJM_Delaware,632.106
deep_decarbonizationDGS1,2030,PJM_Dom,176.792
deep_decarbonizationDGS1,2030,PJM_NJCoast,2713.2
deep_decarbonizationDGS1,2030,PJM_NJLand,5220.133
deep_decarbonizationDGS1,2030,PJM_PECO,157.301
deep_decarbonizationDGS1,2030,PJM_SMAC,3858.449
deep_decarbonizationDGS1,2030,PJM_WEST,830.283
deep_decarbonizationDGS1,2030,PJM_WestMAC,155.353
deep_decarbonizationDGS1,2030,SC_TVA,126.825
deep_decarbonizationDGS1,2030,SC_VACA,488.78
deep_decarbonizationDGS1,2040,MIS_Central,551.104
deep_decarbonizationDGS1,2040,MIS_East,130.382
deep_decarbonizationDGS1,2040,NY_East,1434.86
deep_decarbonizationDGS1,2040,NY_West,504.14
deep_decarbonizationDGS1,2040,PJM_COMD,530.112
deep_decarbonizationDGS1,2040,PJM_Delaware,814.888
deep_decarbonizationDGS1,2040,PJM_Dom,176.792
deep_decarbonizationDGS1,2040,PJM_NJCoast,4710.195
deep_decarbonizationDGS1,2040,PJM_NJLand,9062.305
deep_decarbonizationDGS1,2040,PJM_PECO,157.301
deep_decarbonizationDGS1,2040,PJM_SMAC,5357.551
deep_decarbonizationDGS1,2040,PJM_WEST,960.399
deep_decarbonizationDGS1,2040,PJM_WestMAC,155.353
deep_decarbonizationDGS1,2040,SC_TVA,126.825
deep_decarbonizationDGS1,2040,SC_VACA,488.78
deep_decarbonizationDGS1,2050,MIS_Central,571.605
deep_decarbonizationDGS1,2050,MIS_East,130.382
deep_decarbonizationDGS1,2050,NY_East,1434.86
deep_decarbonizationDGS1,2050,NY_West,504.14
