case,year,Scenario,TechSensitivity,rps_revenue
deepdecarbonization_dgsolar_nuclear_nointertrans,2050,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,-1
deepdecarbonization_doublezcfcost,2030,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_doublezcfcost,2040,Deep Decarbonization (DD),Doubled ZCF Fuel Price,-2
deepdecarbonization_doublezcfcost,2050,Deep Decarbonization (DD),Doubled ZCF Fuel Price,-6
deepdecarbonization_highngcost,2030,Deep Decarbonization (DD),High NatGas Price,-1
deepdecarbonization_highngcost,2040,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highngcost,2050,Deep Decarbonization (DD),High NatGas Price,-1
deepdecarbonization_highrecost,2030,Deep Decarbonization (DD),High RE/BESS Cost,-1
deepdecarbonization_highrecost,2040,Deep Decarbonization (DD),High RE/BESS Cost,-6
deepdecarbonization_highrecost,2050,Deep Decarbonization (DD),High RE/BESS Cost,0
deepdecarbonization_instaterps_doublezcfcost,2030,DD + 80% Instate,Doubled ZCF Fuel Price,-1
deepdecarbonization_instaterps_doublezcfcost,2040,DD + 80% Instate,Doubled ZCF Fuel Price,25442227
deepdecarbonization_instaterps_doublezcfcost,2050,DD + 80% Instate,Doubled ZCF Fuel Price,17179050
deepdecarbonization_instaterps_highngcost,2030,DD + 80% Instate,High NatGas Price,-1
deepdecarbonization_instaterps_highngcost,2040,DD + 80% Instate,High NatGas Price,24441681
deepdecarbonization_instaterps_highngcost,2050,DD + 80% Instate,High NatGas Price,23790320
deepdecarbonization_instaterps_highrecost,2030,DD + 80% Instate,High RE/BESS Cost,0
deepdecarbonization_instaterps_highrecost,2040,DD + 80% Instate,High RE/BESS Cost,47302537
deepdecarbonization_instaterps_highrecost,2050,DD + 80% Instate,High RE/BESS Cost,352061940
deepdecarbonization_instaterps_lowngcost,2030,DD + 80% Instate,Low NatGas Price,-2
deepdecarbonization_instaterps_lowngcost,2040,DD + 80% Instate,Low NatGas Price,24872125
deepdecarbonization_instaterps_lowngcost,2050,DD + 80% Instate,Low NatGas Price,66239438
deepdecarbonization_instaterps_lowrecost,2030,DD + 80% Instate,Low RE/BESS Cost,-2
deepdecarbonization_instaterps_lowrecost,2040,DD + 80% Instate,Low RE/BESS Cost,16229235
deepdecarbonization_instaterps_lowrecost,2050,DD + 80% Instate,Low RE/BESS Cost,-6
deepdecarbonization_instaterps_mid,2030,DD + 80% Instate,Mid,-1
deepdecarbonization_instaterps_mid,2040,DD + 80% Instate,Mid,24271455
deepdecarbonization_instaterps_mid,2050,DD + 80% Instate,Mid,47598839
deepdecarbonization_instaterps_noflexibleload,2030,DD + 80% Instate,No Flexible Load,-12
deepdecarbonization_instaterps_noflexibleload,2040,DD + 80% Instate,No Flexible Load,13831246
deepdecarbonization_instaterps_noflexibleload,2050,DD + 80% Instate,No Flexible Load,53615775
deepdecarbonization_instaterps_nointertrans,2030,DD + 80% Instate,No Interregional Transmission Upgrade,-3
deepdecarbonization_instaterps_nointertrans,2040,DD + 80% Instate,No Interregional Transmission Upgrade,15703476
deepdecarbonization_instaterps_nointertrans,2050,DD + 80% Instate,No Interregional Transmission Upgrade,57050727
deepdecarbonization_lowngcost,2030,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowngcost,2040,Deep Decarbonization (DD),Low NatGas Price,-4
deepdecarbonization_lowngcost,2050,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowrecost,2030,Deep Decarbonization (DD),Low RE/BESS Cost,-1
deepdecarbonization_lowrecost,2040,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_lowrecost,2050,Deep Decarbonization (DD),Low RE/BESS Cost,-5
deepdecarbonization_mid,2030,Deep Decarbonization (DD),Mid,0
deepdecarbonization_mid,2040,Deep Decarbonization (DD),Mid,-3
deepdecarbonization_mid,2050,Deep Decarbonization (DD),Mid,-3
deepdecarbonization_noflexibleload,2030,Deep Decarbonization (DD),No Flexible Load,0
deepdecarbonization_noflexibleload,2040,Deep Decarbonization (DD),No Flexible Load,-7
deepdecarbonization_noflexibleload,2050,Deep Decarbonization (DD),No Flexible Load,-12
deepdecarbonization_nointertrans,2030,Deep Decarbonization (DD),No Interregional Transmission Upgrade,-4
deepdecarbonization_nointertrans,2040,Deep Decarbonization (DD),No Interregional Transmission Upgrade,-1
deepdecarbonization_nointertrans,2050,Deep Decarbonization (DD),No Interregional Transmission Upgrade,0
