case,year,Scenario,TechSensitivity,capacity_revenue
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2050,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,5771443.558138566
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2030,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,1503131.656047896
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2040,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,3753171.8891432155
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2050,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,4303042.123670585
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2030,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,4608156.77553728
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2040,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,919849.7098625855
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2050,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,748981.5896564559
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2030,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,2163921.285958712
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2040,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,1286634.9327343658
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2050,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,2839779.5848193695
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2030,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,2774218.949464704
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2040,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,5007305.683458397
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2050,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,10639844.920024447
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2030,DD + High Solar + Nuclear + 80% Instate,Mid,2140476.485067928
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2040,DD + High Solar + Nuclear + 80% Instate,Mid,2254273.283277422
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2050,DD + High Solar + Nuclear + 80% Instate,Mid,3079457.0141448863
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2030,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,1167441.49913972
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2040,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,2958465.9113685666
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2050,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,10752323.69462908
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2030,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,3034087.133335608
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2040,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,2833950.9792301236
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2050,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,2934976.330765507
deepdecarbonization_dgsolar_nuclear_lowngcost,2030,DD + High Solar + Nuclear,Low NatGas Price,2163932.0333151924
deepdecarbonization_dgsolar_nuclear_lowngcost,2040,DD + High Solar + Nuclear,Low NatGas Price,1286391.1729869249
deepdecarbonization_dgsolar_nuclear_lowngcost,2050,DD + High Solar + Nuclear,Low NatGas Price,2832421.4292883454
deepdecarbonization_dgsolar_nuclear_lowrecost,2030,DD + High Solar + Nuclear,Low RE/BESS Cost,2774182.3785989042
deepdecarbonization_dgsolar_nuclear_lowrecost,2040,DD + High Solar + Nuclear,Low RE/BESS Cost,5007432.797861067
deepdecarbonization_dgsolar_nuclear_lowrecost,2050,DD + High Solar + Nuclear,Low RE/BESS Cost,10640955.729184506
deepdecarbonization_dgsolar_nuclear_mid,2030,DD + High Solar + Nuclear,Mid,2140454.403230864
deepdecarbonization_dgsolar_nuclear_mid,2040,DD + High Solar + Nuclear,Mid,2254177.4896700825
deepdecarbonization_dgsolar_nuclear_mid,2050,DD + High Solar + Nuclear,Mid,3080111.0944260983
deepdecarbonization_dgsolar_nuclear_noflexibleload,2030,DD + High Solar + Nuclear,No Flexible Load,1167560.625625296
deepdecarbonization_dgsolar_nuclear_noflexibleload,2040,DD + High Solar + Nuclear,No Flexible Load,2958448.87755489
deepdecarbonization_dgsolar_nuclear_noflexibleload,2050,DD + High Solar + Nuclear,No Flexible Load,10752048.162072457
deepdecarbonization_dgsolar_nuclear_nointertrans,2030,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,3033871.3901055283
deepdecarbonization_dgsolar_nuclear_nointertrans,2040,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,2834133.5485434444
deepdecarbonization_dgsolar_nuclear_nointertrans,2050,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,2935708.0733516896
deepdecarbonization_doublezcfcost,2030,Deep Decarbonization (DD),Doubled ZCF Fuel Price,3557417.9256169247
deepdecarbonization_doublezcfcost,2040,Deep Decarbonization (DD),Doubled ZCF Fuel Price,1587645.632042558
deepdecarbonization_doublezcfcost,2050,Deep Decarbonization (DD),Doubled ZCF Fuel Price,2614446.7554871812
deepdecarbonization_highngcost,2030,Deep Decarbonization (DD),High NatGas Price,2105373.023481561
deepdecarbonization_highngcost,2040,Deep Decarbonization (DD),High NatGas Price,1658652.6262698502
deepdecarbonization_highngcost,2050,Deep Decarbonization (DD),High NatGas Price,1339014.212011019
deepdecarbonization_highrecost,2030,Deep Decarbonization (DD),High RE/BESS Cost,3947202.9787845206
deepdecarbonization_highrecost,2040,Deep Decarbonization (DD),High RE/BESS Cost,448687.6857480024
deepdecarbonization_highrecost,2050,Deep Decarbonization (DD),High RE/BESS Cost,236072.54179126798
deepdecarbonization_instaterps_doublezcfcost,2030,DD + 80% Instate,Doubled ZCF Fuel Price,3557757.482339034
deepdecarbonization_instaterps_doublezcfcost,2040,DD + 80% Instate,Doubled ZCF Fuel Price,1590275.6700137998
deepdecarbonization_instaterps_doublezcfcost,2050,DD + 80% Instate,Doubled ZCF Fuel Price,3593700.4356981604
deepdecarbonization_instaterps_highngcost,2030,DD + 80% Instate,High NatGas Price,2105335.6573465033
deepdecarbonization_instaterps_highngcost,2040,DD + 80% Instate,High NatGas Price,1662978.3017520658
deepdecarbonization_instaterps_highngcost,2050,DD + 80% Instate,High NatGas Price,1368759.1262538412
deepdecarbonization_instaterps_highrecost,2030,DD + 80% Instate,High RE/BESS Cost,3947391.863785389
deepdecarbonization_instaterps_highrecost,2040,DD + 80% Instate,High RE/BESS Cost,420684.16423562926
deepdecarbonization_instaterps_highrecost,2050,DD + 80% Instate,High RE/BESS Cost,182924.02574726113
deepdecarbonization_instaterps_lowngcost,2030,DD + 80% Instate,Low NatGas Price,3936020.2892507445
deepdecarbonization_instaterps_lowngcost,2040,DD + 80% Instate,Low NatGas Price,625408.1424074635
deepdecarbonization_instaterps_lowngcost,2050,DD + 80% Instate,Low NatGas Price,1120846.7084098535
deepdecarbonization_instaterps_lowrecost,2030,DD + 80% Instate,Low RE/BESS Cost,4247540.832425133
deepdecarbonization_instaterps_lowrecost,2040,DD + 80% Instate,Low RE/BESS Cost,2158897.3399161804
deepdecarbonization_instaterps_lowrecost,2050,DD + 80% Instate,Low RE/BESS Cost,3356521.5913411966
deepdecarbonization_instaterps_mid,2030,DD + 80% Instate,Mid,3557757.482339034
deepdecarbonization_instaterps_mid,2040,DD + 80% Instate,Mid,1125009.230907502
deepdecarbonization_instaterps_mid,2050,DD + 80% Instate,Mid,971016.2935000213
deepdecarbonization_instaterps_noflexibleload,2030,DD + 80% Instate,No Flexible Load,5207376.59661003
deepdecarbonization_instaterps_noflexibleload,2040,DD + 80% Instate,No Flexible Load,1452037.4755013029
deepdecarbonization_instaterps_noflexibleload,2050,DD + 80% Instate,No Flexible Load,3355753.3653477924
deepdecarbonization_instaterps_nointertrans,2030,DD + 80% Instate,No Interregional Transmission Upgrade,3893011.860740093
deepdecarbonization_instaterps_nointertrans,2040,DD + 80% Instate,No Interregional Transmission Upgrade,1241901.0836147561
deepdecarbonization_instaterps_nointertrans,2050,DD + 80% Instate,No Interregional Transmission Upgrade,1184735.5468592884
deepdecarbonization_lowngcost,2030,Deep Decarbonization (DD),Low NatGas Price,3936546.733124446
deepdecarbonization_lowngcost,2040,Deep Decarbonization (DD),Low NatGas Price,650633.6156732092
deepdecarbonization_lowngcost,2050,Deep Decarbonization (DD),Low NatGas Price,1237246.5183724698
deepdecarbonization_lowrecost,2030,Deep Decarbonization (DD),Low RE/BESS Cost,4247542.279630439
deepdecarbonization_lowrecost,2040,Deep Decarbonization (DD),Low RE/BESS Cost,2190033.799714001
deepdecarbonization_lowrecost,2050,Deep Decarbonization (DD),Low RE/BESS Cost,3365096.0780550116
deepdecarbonization_mid,2030,Deep Decarbonization (DD),Mid,3557417.9256169247
deepdecarbonization_mid,2040,Deep Decarbonization (DD),Mid,1077595.4953250927
deepdecarbonization_mid,2050,Deep Decarbonization (DD),Mid,1129831.4248814979
deepdecarbonization_noflexibleload,2030,Deep Decarbonization (DD),No Flexible Load,5207866.669743544
deepdecarbonization_noflexibleload,2040,Deep Decarbonization (DD),No Flexible Load,1353452.3604668002
deepdecarbonization_noflexibleload,2050,Deep Decarbonization (DD),No Flexible Load,3885426.099985251
deepdecarbonization_nointertrans,2030,Deep Decarbonization (DD),No Interregional Transmission Upgrade,3891566.4485563654
deepdecarbonization_nointertrans,2040,Deep Decarbonization (DD),No Interregional Transmission Upgrade,1236157.168110883
deepdecarbonization_nointertrans,2050,Deep Decarbonization (DD),No Interregional Transmission Upgrade,1181685.0357404635
deepdecarbonization_nuclear_doublezcfcost,2030,DD + Nuclear,Doubled ZCF Fuel Price,3557417.9256169247
deepdecarbonization_nuclear_doublezcfcost,2040,DD + Nuclear,Doubled ZCF Fuel Price,1587641.1068786485
deepdecarbonization_nuclear_doublezcfcost,2050,DD + Nuclear,Doubled ZCF Fuel Price,2614433.321186215
deepdecarbonization_nuclear_highngcost,2030,DD + Nuclear,High NatGas Price,2105373.023481561
deepdecarbonization_nuclear_highngcost,2040,DD + Nuclear,High NatGas Price,1658936.6173677323
deepdecarbonization_nuclear_highngcost,2050,DD + Nuclear,High NatGas Price,1337985.3619907778
deepdecarbonization_nuclear_highrecost,2030,DD + Nuclear,High RE/BESS Cost,3947176.6467074826
deepdecarbonization_nuclear_highrecost,2040,DD + Nuclear,High RE/BESS Cost,448680.499138237
deepdecarbonization_nuclear_highrecost,2050,DD + Nuclear,High RE/BESS Cost,236173.16138752224
deepdecarbonization_nuclear_instaterps_doublezcfcost,2030,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,3557757.482339034
deepdecarbonization_nuclear_instaterps_doublezcfcost,2040,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,1590258.7835987126
deepdecarbonization_nuclear_instaterps_doublezcfcost,2050,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,3594522.314180972
deepdecarbonization_nuclear_instaterps_highngcost,2030,DD + Nuclear + 80% Instate,High NatGas Price,2105335.6573465033
deepdecarbonization_nuclear_instaterps_highngcost,2040,DD + Nuclear + 80% Instate,High NatGas Price,1663005.6715812017
deepdecarbonization_nuclear_instaterps_highngcost,2050,DD + Nuclear + 80% Instate,High NatGas Price,1368709.387101709
deepdecarbonization_nuclear_instaterps_highrecost,2030,DD + Nuclear + 80% Instate,High RE/BESS Cost,3947117.240694539
deepdecarbonization_nuclear_instaterps_highrecost,2040,DD + Nuclear + 80% Instate,High RE/BESS Cost,420941.816196935
deepdecarbonization_nuclear_instaterps_highrecost,2050,DD + Nuclear + 80% Instate,High RE/BESS Cost,182985.82494361344
deepdecarbonization_nuclear_instaterps_lowngcost,2030,DD + Nuclear + 80% Instate,Low NatGas Price,3936020.2892507445
deepdecarbonization_nuclear_instaterps_lowngcost,2040,DD + Nuclear + 80% Instate,Low NatGas Price,625408.0859311589
deepdecarbonization_nuclear_instaterps_lowngcost,2050,DD + Nuclear + 80% Instate,Low NatGas Price,1120929.34030308
deepdecarbonization_nuclear_instaterps_lowrecost,2030,DD + Nuclear + 80% Instate,Low RE/BESS Cost,4247540.832425133
deepdecarbonization_nuclear_instaterps_lowrecost,2040,DD + Nuclear + 80% Instate,Low RE/BESS Cost,2158888.4378386615
deepdecarbonization_nuclear_instaterps_lowrecost,2050,DD + Nuclear + 80% Instate,Low RE/BESS Cost,3356193.3792967806
deepdecarbonization_nuclear_instaterps_mid,2030,DD + Nuclear + 80% Instate,Mid,3557757.482339034
